,,,Round 1,Round 1,,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Advanced,Advanced,Advanced,Advanced
Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
1,1,CLE,LeBron James\jamesle01,,14,1020,39704,27697,7327,7089,.499,.341,.742,38.9,27.2,7.2,7.0,198.3,.240,9.2,111.9
2,2,DET,Darko Milicic\milicda01,,10,468,8638,2813,1971,405,.460,.000,.574,18.5,6.0,4.2,0.9,7.1,.040,-1.6,0.8
3,3,DEN,Carmelo Anthony\anthoca01,Syracuse University,14,939,34028,23309,6218,2960,.452,.345,.813,36.2,24.8,6.6,3.2,95.2,.134,1.4,29.2
4,4,TOR,Chris Bosh\boshch01,Georgia Institute of Technology,13,893,31936,17189,7592,1795,.494,.335,.799,35.8,19.2,8.5,2.0,106.0,.159,1.4,27.5
5,5,MIA,Dwyane Wade\wadedw01,Marquette University,14,890,31625,20875,4270,5079,.486,.288,.768,35.5,23.5,4.8,5.7,116.4,.177,5.2,57.3
6,6,LAC,Chris Kaman\kamanch01,Central Michigan University,13,735,19642,8208,5582,921,.489,.042,.743,26.7,11.2,7.6,1.3,24.6,.060,-2.0,0.0
7,7,CHI,Kirk Hinrich\hinriki01,University of Kansas,13,879,27015,9594,2576,4245,.411,.375,.800,30.7,10.9,2.9,4.8,52.5,.093,0.2,14.7
8,8,MIL,T.J. Ford\fordtj01,University of Texas at Austin,8,429,11882,4797,1331,2495,.433,.289,.815,27.7,11.2,3.1,5.8,16.9,.068,-0.8,3.6
9,9,NYK,Mike Sweetney\sweetmi01,Georgetown University,4,233,3610,1516,1045,145,.485,.000,.689,15.5,6.5,4.5,0.6,7.8,.103,-2.1,-0.1
10,10,WAS,Jarvis Hayes\hayesja01,University of Georgia,7,427,9898,3553,1330,459,.415,.356,.798,23.2,8.3,3.1,1.1,10.2,.049,-2.9,-2.2
11,11,GSW,Mickael Pietrus\pietrmi01,,10,557,11950,4629,1723,445,.425,.355,.665,21.5,8.3,3.1,0.8,19.7,.079,-0.9,3.4
12,12,SEA,Nick Collison\collini01,University of Kansas,13,885,18461,5309,4661,930,.533,.210,.727,20.9,6.0,5.3,1.1,44.2,.115,0.4,11.4
13,13,MEM,Marcus Banks\banksma01,University of Nevada Las Vegas,8,348,5571,2061,519,728,.432,.327,.768,16.0,5.9,1.5,2.1,6.6,.057,-2.4,-0.6
14,14,SEA,Luke Ridnour\ridnolu01,University of Oregon,12,830,21623,7740,1877,3713,.431,.349,.862,26.1,9.3,2.3,4.5,36.0,.080,-0.9,5.8
15,15,ORL,Reece Gaines\gainere01,University of Louisville,3,71,605,123,53,50,.324,.269,.606,8.5,1.7,0.7,0.7,-0.6,-.049,-7.7,-0.9
16,16,BOS,Troy Bell\belltr01,Boston College,1,6,34,11,4,4,.222,.000,1.000,5.7,1.8,0.7,0.7,-0.2,-.326,-14.4,-0.1
17,17,PHO,Zarko Cabarkapa\cabarza01,,3,150,1550,640,312,85,.427,.273,.733,10.3,4.3,2.1,0.6,1.1,.035,-5.2,-1.3
18,18,NOH,David West\westda01,Xavier University,14,931,27727,13379,6255,2062,.492,.262,.818,29.8,14.4,6.7,2.2,81.1,.140,1.4,24.0
19,19,UTA,Sasha Pavlovic\pavloal01,,10,567,8888,2787,1000,517,.404,.346,.673,15.7,4.9,1.8,0.9,7.0,.038,-3.4,-3.2
20,20,BOS,Dahntay Jones\jonesda02,Duke University,12,623,9787,3344,1080,528,.439,.331,.751,15.7,5.4,1.7,0.8,9.9,.048,-3.6,-4.1
21,21,ATL,Boris Diaw\diawbo01,,14,1021,28065,8943,4542,3575,.495,.342,.717,27.5,8.8,4.4,3.5,50.7,.087,0.8,19.6
22,22,NJN,Zoran Planinic\planizo01,,3,148,1584,561,198,165,.405,.289,.677,10.7,3.8,1.3,1.1,1.5,.046,-4.2,-0.9
23,23,POR,Travis Outlaw\outlatr01,,11,622,13026,5273,1974,514,.423,.337,.744,20.9,8.5,3.2,0.8,16.5,.061,-2.3,-0.9
24,24,LAL,Brian Cook\cookbr01,University of Illinois at Urbana-Champaign,9,421,5649,2312,1115,252,.439,.382,.783,13.4,5.5,2.6,0.6,10.2,.086,-2.4,-0.6
25,25,DET,Carlos Delfino\delfica01,,8,507,11580,4115,1815,887,.401,.365,.758,22.8,8.1,3.6,1.7,22.5,.093,0.8,8.1
26,26,MIN,Ndudi Ebi\ebind01,,2,19,86,40,19,4,.486,.000,.462,4.5,2.1,1.0,0.2,0.1,.051,-5.4,-0.1
27,27,MEM,Kendrick Perkins\perkike01,,13,781,17147,4211,4531,811,.530,.000,.594,22.0,5.4,5.8,1.0,27.9,.078,-0.4,7.0
28,28,SAS,Leandro Barbosa\barbole01,,14,820,17910,8836,1668,1738,.461,.389,.820,21.8,10.8,2.0,2.1,37.7,.101,-0.3,7.9
29,29,DAL,Josh Howard\howarjo01,Wake Forest University,10,507,15350,7270,2886,817,.448,.332,.770,30.3,14.3,5.7,1.6,38.0,.119,0.6,10.3
30,30,NYK,Maciej Lampe\lampema01,,3,64,632,215,142,22,.407,.250,.676,9.9,3.4,2.2,0.3,-0.2,-.014,-8.7,-1.1
31,31,CLE,Jason Kapono\kaponja01,University of California Los Angeles,9,509,9068,3398,844,417,.442,.434,.835,17.8,6.7,1.7,0.8,10.3,.055,-3.0,-2.3
32,32,LAL,Luke Walton\waltolu01,University of Arizona,10,564,9685,2649,1588,1317,.429,.326,.715,17.2,4.7,2.8,2.3,13.5,.067,-1.2,1.9
33,33,MIA,Jerome Beasley\beaslje01,University of North Dakota,1,2,5,2,1,0,.333,,,2.5,1.0,0.5,0.0,0.0,-.117,-22.4,0.0
34,34,LAC,Sofoklis Schortsanitis\schorso01,,,,,,,,,,,,,,,,,,
35,35,MIL,Szymon Szewczyk\szewcsz01,,,,,,,,,,,,,,,,,,
36,36,CHI,Mario Austin\austima01,Mississippi State University,,,,,,,,,,,,,,,,,
37,37,ATL,Travis Hansen\hansetr01,Brigham Young University,1,41,507,123,70,19,.354,.300,.815,12.4,3.0,1.7,0.5,0.2,.019,-5.0,-0.4
38,38,WAS,Steve Blake\blakest01,University of Maryland,13,870,20823,5662,1816,3446,.401,.383,.779,23.9,6.5,2.1,4.0,29.1,.067,-1.8,1.3
39,39,NYK,Slavko Vranes\vranesl01,,1,1,3,0,0,0,.000,,,3.0,0.0,0.0,0.0,0.0,-.371,-21.4,0.0
40,40,GSW,Derrick Zimmerman\zimmede01,Mississippi State University,1,2,32,4,4,7,.667,,,16.0,2.0,2.0,3.5,0.0,.004,-9.7,-0.1
41,41,SEA,Willie Green\greenwi01,University of Detroit Mercy,12,731,14783,6059,1303,1018,.425,.346,.765,20.2,8.3,1.8,1.4,12.9,.042,-3.6,-5.9
42,42,ORL,Zaza Pachulia\pachuza01,,14,925,19741,6534,5514,1171,.463,.000,.748,21.3,7.1,6.0,1.3,44.6,.108,-0.4,7.7
43,43,MIL,Keith Bogans\boganke01,University of Kentucky,11,671,14527,4257,1817,866,.394,.353,.716,21.6,6.3,2.7,1.3,20.4,.068,-0.8,4.5
44,44,HOU,Malick Badiane,,,,,,,,,,,,,,,,,,
45,45,CHI,Matt Bonner\bonnema01,University of Florida,12,792,13356,4632,2371,552,.464,.414,.780,16.9,5.8,3.0,0.7,38.5,.138,1.0,10.1
46,46,DEN,Sani Becirovic\becirsa01,,,,,,,,,,,,,,,,,,
47,47,UTA,Mo Williams\willima01,University of Alabama,13,818,23872,10759,2264,3990,.434,.378,.871,29.2,13.2,2.8,4.9,40.0,.080,-0.5,8.9
48,48,NOH,James Lang\langja01,,1,11,55,11,11,2,.444,,.600,5.0,1.0,1.0,0.2,0.1,.047,-4.0,0.0
49,49,IND,James Jones\jonesja02,University of Miami,14,682,10868,3644,1252,356,.400,.401,.845,15.9,5.3,1.8,0.5,24.8,.110,-0.5,4.1
50,50,PHI,Paccelis Morlende\morlepa01,,,,,,,,,,,,,,,,,,
51,51,NJN,Kyle Korver\korveky01,Creighton University,14,996,26456,9922,3098,1842,.442,.429,.879,26.6,10.0,3.1,1.8,63.3,.115,1.0,19.8
52,52,TOR,Remon Van de Hare,,,,,,,,,,,,,,,,,,
53,53,CHI,Tommy Smith,Arizona State University,,,,,,,,,,,,,,,,,
54,54,POR,Nedzad Sinanovic\sinanne01,,,,,,,,,,,,,,,,,,
55,55,MIN,Rick Rickert,University of Minnesota,,,,,,,,,,,,,,,,,
56,56,BOS,Brandon Hunter\huntebr01,Ohio University,2,67,630,220,187,22,.476,.000,.488,9.4,3.3,2.8,0.3,0.7,.055,-5.4,-0.5
57,57,DAL,Xue Yuyang\yuyanxu01,,,,,,,,,,,,,,,,,,
58,58,DET,Andreas Glyniadakis\glynian01,,1,13,81,17,8,1,.471,,.500,6.2,1.3,0.6,0.1,-0.2,-.143,-12.1,-0.2
