,,,Round 1,Round 1,,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Advanced,Advanced,Advanced,Advanced
Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
1,1,CLE,Kyrie Irving\irvinky01,Duke University,6,340,11582,7169,1169,1880,.455,.382,.867,34.1,21.1,3.4,5.5,35.7,.148,3.1,14.8
2,2,MIN,Derrick Williams\willide02,University of Arizona,6,398,8413,3646,1631,279,.431,.293,.711,21.1,9.2,4.1,0.7,13.3,.076,-3.1,-2.4
3,3,UTA,Enes Kanter\kanteen01,,6,412,8758,4537,2764,237,.530,.326,.764,21.3,11.0,6.7,0.6,24.4,.134,-2.5,-1.2
4,4,CLE,Tristan Thompson\thomptr01,University of Texas at Austin,6,424,12085,4002,3669,335,.506,.000,.621,28.5,9.4,8.7,0.8,31.1,.124,-0.7,3.9
5,5,TOR,Jonas Valanciunas\valanjo01,,5,318,8357,3619,2655,205,.555,.000,.782,26.3,11.4,8.3,0.6,29.0,.167,-0.5,3.2
6,6,WAS,Jan Vesely\veselja01,,3,162,2455,590,562,96,.521,.000,.408,15.2,3.6,3.5,0.6,4.0,.078,-0.6,0.9
7,7,SAC,Bismack Biyombo\biyombi01,,6,404,8740,1925,2674,160,.507,.000,.549,21.6,4.8,6.6,0.4,16.6,.091,-2.0,0.0
8,8,DET,Brandon Knight\knighbr03,University of Kentucky,6,365,11630,5683,1252,1595,.415,.359,.810,31.9,15.6,3.4,4.4,12.0,.049,-1.1,2.7
9,9,CHA,Kemba Walker\walkeke02,University of Connecticut,6,401,13508,7160,1555,2145,.410,.344,.824,33.7,17.9,3.9,5.3,29.1,.103,2.2,14.2
10,10,MIL,Jimmer Fredette\fredeji01,Brigham Young University,5,235,3148,1416,236,323,.412,.381,.876,13.4,6.0,1.0,1.4,2.4,.037,-4.0,-1.6
11,11,GSW,Klay Thompson\thompkl01,Washington State University,6,424,13841,7920,1411,961,.452,.416,.854,32.6,18.7,3.3,2.3,32.2,.112,0.4,8.4
12,12,UTA,Alec Burks\burksal01,University of Colorado,6,263,5981,2759,758,505,.432,.364,.750,22.7,10.5,2.9,1.9,8.9,.071,-1.9,0.1
13,13,PHO,Markieff Morris\morrima02,University of Kansas,6,407,10526,4732,2227,689,.444,.320,.763,25.9,11.6,5.5,1.7,15.9,.073,-0.8,3.3
14,14,HOU,Marcus Morris\morrima03,University of Kansas,6,375,9570,3910,1552,562,.429,.360,.709,25.5,10.4,4.1,1.5,16.8,.084,-0.3,4.1
15,15,IND,Kawhi Leonard\leonaka01,San Diego State University,6,359,10843,5456,2242,752,.495,.393,.846,30.2,15.2,6.2,2.1,48.1,.213,6.0,21.9
16,16,PHI,Nikola Vucevic\vucevni01,University of Southern California,6,360,10755,5185,3545,703,.505,.288,.718,29.9,14.4,9.8,2.0,25.7,.115,0.6,6.9
17,17,NYK,Iman Shumpert\shumpim01,Georgia Institute of Technology,6,329,8369,2416,1157,657,.395,.339,.765,25.4,7.3,3.5,2.0,10.9,.063,0.0,4.2
18,18,WAS,Chris Singleton\singlch01,Florida State University,3,148,2605,612,472,92,.376,.319,.633,17.6,4.1,3.2,0.6,2.3,.042,-2.3,-0.2
19,19,CHA,Tobias Harris\harrito02,University of Tennessee,6,341,9785,4629,1956,535,.467,.328,.812,28.7,13.6,5.7,1.6,22.1,.108,-0.3,4.3
20,20,MIN,Donatas Motiejunas\motiedo01,,5,216,4111,1690,857,243,.476,.312,.611,19.0,7.8,4.0,1.1,7.2,.085,-1.8,0.2
21,21,POR,Nolan Smith\smithno01,Duke University,2,84,829,277,83,97,.371,.260,.714,9.9,3.3,1.0,1.2,-0.8,-.047,-6.5,-0.9
22,22,DEN,Kenneth Faried\farieke01,Morehead State University,6,381,9958,4567,3283,405,.543,.118,.651,26.1,12.0,8.6,1.1,32.4,.156,1.5,8.8
23,23,HOU,Nikola Mirotic\mirotni01,,3,184,4139,1952,965,227,.403,.346,.798,22.5,10.6,5.2,1.2,11.1,.129,0.7,2.8
24,24,OKC,Reggie Jackson\jacksre01,Boston College,6,369,8987,4470,1152,1582,.433,.317,.860,24.4,12.1,3.1,4.3,20.5,.109,0.4,5.5
25,25,BOS,MarShon Brooks\brookma01,Providence College,3,164,2876,1261,358,232,.442,.326,.748,17.5,7.7,2.2,1.4,2.5,.041,-2.5,-0.4
26,26,DAL,Jordan Hamilton\hamiljo02,University of Texas at Austin,5,151,2100,890,429,127,.408,.357,.670,13.9,5.9,2.8,0.8,3.0,.069,-1.5,0.3
27,27,NJN,JaJuan Johnson\johnsja02,Purdue University,1,36,298,114,58,6,.446,,.667,8.3,3.2,1.6,0.2,0.2,.032,-6.3,-0.3
