,,,Round 1,Round 1,,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Advanced,Advanced,Advanced,Advanced
Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
1,1,PHI,Ben Simmons\simmobe01,Louisiana State University,,,,,,,,,,,,,,,,,
2,2,LAL,Brandon Ingram\ingrabr01,Duke University,1,41,1131,324,168,81,.369,.261,.702,27.6,7.9,4.1,2.0,-0.2,-.008,-4.3,-0.7
3,3,BOS,Jaylen Brown\brownja02,University of California,1,37,489,178,70,23,.443,.325,.641,13.2,4.8,1.9,0.6,0.4,.035,-4.5,-0.3
4,4,PHO,Dragan Bender\bendedr01,,1,31,382,97,63,12,.388,.317,.167,12.3,3.1,2.0,0.4,-0.1,-.008,-3.8,-0.2
5,5,MIN,Kris Dunn\dunnkr01,Providence College,1,38,643,150,82,94,.380,.294,.619,16.9,3.9,2.2,2.5,0.2,.012,-2.5,-0.1
6,6,NOP,Buddy Hield\hieldbu01,University of Oklahoma,1,39,791,357,108,53,.396,.382,.923,20.3,9.2,2.8,1.4,0.5,.028,-3.0,-0.2
7,7,DEN,Jamal Murray\murraja01,University of Kentucky,1,37,752,297,97,65,.373,.329,.822,20.3,8.0,2.6,1.8,0.2,.015,-3.2,-0.2
8,8,SAC,Marquesse Chriss\chrisma01,University of Washington,1,38,675,272,130,24,.426,.313,.631,17.8,7.2,3.4,0.6,0.3,.019,-3.6,-0.3
9,9,TOR,Jakob Poeltl\poeltja01,University of Utah,1,19,207,44,59,4,.421,,.522,10.9,2.3,3.1,0.2,0.4,.101,-1.1,0.0
10,10,MIL,Thon Maker\makerth01,,1,14,56,30,18,0,.556,.500,.600,4.0,2.1,1.3,0.0,0.2,.188,-7.7,-0.1
11,11,ORL,Domantas Sabonis\sabondo01,Gonzaga University,1,39,826,239,139,47,.427,.375,.800,21.2,6.1,3.6,1.2,0.9,.052,-3.2,-0.3
12,12,UTA,Taurean Prince\princta02,Baylor University,1,21,213,69,41,15,.391,.292,.857,10.1,3.3,2.0,0.7,0.2,.046,-3.7,-0.1
13,13,PHO,Georgios Papagiannis\papagge01,,1,2,9,2,1,0,1.000,,,4.5,1.0,0.5,0.0,0.0,-.052,-10.9,0.0
14,14,CHI,Denzel Valentine\valende01,Michigan State University,1,23,252,63,36,13,.296,.298,.875,11.0,2.7,1.6,0.6,0.0,-.006,-5.6,-0.2
15,15,DEN,Juan Hernangomez\hernaju01,,1,25,261,83,61,11,.448,.407,.645,10.4,3.3,2.4,0.4,0.6,.111,-1.0,0.1
16,16,BOS,Guerschon Yabusele\yabusgu01,,,,,,,,,,,,,,,,,,
17,17,MEM,Wade Baldwin\baldwwa01,Vanderbilt University,1,23,304,81,33,48,.313,.111,.844,13.2,3.5,1.4,2.1,-0.2,-.027,-5.4,-0.3
18,18,DET,Henry Ellenson\ellenhe01,Marquette University,1,10,37,11,8,1,.286,.333,,3.7,1.1,0.8,0.1,-0.1,-.122,-11.0,-0.1
19,19,DEN,Malik Beasley\beaslma01,Florida State University,1,10,55,28,5,3,.333,.308,.667,5.5,2.8,0.5,0.3,0.0,.009,-7.6,-0.1
20,20,IND,Caris LeVert\leverca01,University of Michigan,1,16,270,87,40,24,.413,.318,.688,16.9,5.4,2.5,1.5,0.3,.060,-1.7,0.0
21,21,ATL,DeAndre Bembry\bembrde01,Saint Joseph's University,1,13,97,31,14,3,.500,.000,.500,7.5,2.4,1.1,0.2,0.0,.005,-7.2,-0.1
22,22,CHO,Malachi Richardson\richama01,Syracuse University,1,5,32,17,4,2,.385,.333,1.000,6.4,3.4,0.8,0.4,0.1,.167,-1.3,0.0
23,23,BOS,Ante Zizic\zizican01,,,,,,,,,,,,,,,,,,
24,24,PHI,Timothe Luwawu\luwawti01,,1,22,178,50,23,7,.326,.286,.750,8.1,2.3,1.0,0.3,0.0,.007,-6.5,-0.2
25,25,LAC,Brice Johnson\johnsbr02,University of North Carolina,,,,,,,,,,,,,,,,,
26,26,PHI,Furkan Korkmaz\korkmfu01,,,,,,,,,,,,,,,,,,
27,27,TOR,Pascal Siakam\siakapa01,New Mexico State University,1,35,632,168,127,14,.503,.000,.750,18.1,4.8,3.6,0.4,1.0,.075,-0.9,0.2
28,28,PHO,Skal Labissiere\labissk01,University of Kentucky,1,4,27,12,6,0,.625,,.667,6.8,3.0,1.5,0.0,0.0,.084,-9.8,-0.1
29,29,SAS,Dejounte Murray\murrade01,University of Washington,1,19,104,43,13,15,.395,.429,.500,5.5,2.3,0.7,0.8,-0.2,-.099,-7.5,-0.1
30,30,GSW,Damian Jones\jonesda03,Vanderbilt University,1,1,9,0,0,0,,,,9.0,0.0,0.0,0.0,-0.1,-.290,-13.3,0.0
31,31,BOS,Deyonta Davis\davisde01,Michigan State University,1,21,165,46,42,2,.588,,.545,7.9,2.2,2.0,0.1,0.4,.115,-2.7,0.0
32,32,LAL,Ivica Zubac\zubaciv01,,1,7,54,15,9,1,.294,,.833,7.7,2.1,1.3,0.1,-0.1,-.083,-11.7,-0.1
33,33,LAC,Cheick Diallo\diallch01,University of Kansas,1,7,84,39,26,2,.485,,.700,12.0,5.6,3.7,0.3,0.2,.126,-4.4,-0.1
34,34,PHO,Tyler Ulis\ulisty01,University of Kentucky,1,23,212,74,15,32,.405,.375,.786,9.2,3.2,0.7,1.4,0.1,.023,-3.8,-0.1
35,35,BOS,Rade Zagorac\zagorra01,,,,,,,,,,,,,,,,,,
36,36,MIL,Malcolm Brogdon\brogdma01,University of Virginia,1,36,870,320,95,139,.454,.413,.891,24.2,8.9,2.6,3.9,1.6,.090,-1.3,0.2
37,37,HOU,Chinanu Onuaku\onuakch01,University of Louisville,1,1,8,6,3,1,1.000,,1.000,8.0,6.0,3.0,1.0,0.1,.663,19.1,0.0
38,38,MIL,Patrick McCaw\mccawpa01,University of Nevada Las Vegas,1,28,322,74,28,26,.384,.366,.500,11.5,2.6,1.0,0.9,0.2,.036,-2.7,-0.1
39,39,NOP,David Michineau\michida01,,,,,,,,,,,,,,,,,,
40,40,NOP,Diamond Stone\stonedi01,University of Maryland,1,4,16,6,3,0,.222,,1.000,4.0,1.5,0.8,0.0,-0.1,-.216,-21.4,-0.1
41,41,ORL,Stephen Zimmerman\zimmest01,University of Nevada Las Vegas,1,8,32,10,14,1,.455,,.000,4.0,1.3,1.8,0.1,0.1,.114,-4.8,0.0
42,42,UTA,Isaiah Whitehead\whiteis01,Seton Hall University,1,29,659,202,76,83,.407,.296,.757,22.7,7.0,2.6,2.9,-0.8,-.055,-5.6,-0.6
43,43,HOU,Zhou Qi\qizh01,,,,,,,,,,,,,,,,,,
44,44,ATL,Isaia Cordinier\cordiis01,,,,,,,,,,,,,,,,,,
45,45,BOS,Demetrius Jackson\jacksde01,University of Notre Dame,1,4,17,10,4,3,.750,1.000,.500,4.3,2.5,1.0,0.8,0.1,.387,6.5,0.0
46,46,DAL,A.J. Hammons\hammoaj01,Purdue University,1,17,77,24,20,2,.409,.667,.200,4.5,1.4,1.2,0.1,0.0,.009,-5.7,-0.1
47,47,ORL,Jake Layman\laymaja01,University of Maryland,1,19,123,45,12,6,.313,.242,.778,6.5,2.4,0.6,0.3,-0.1,-.030,-6.0,-0.1
48,48,CHI,Paul Zipser\zipsepa01,,1,10,57,3,12,4,.063,.000,.250,5.7,0.3,1.2,0.4,-0.3,-.258,-13.4,-0.2
49,49,DET,Michael Gbinije\gbinimi01,Syracuse University,1,8,29,4,3,2,.100,.000,1.000,3.6,0.5,0.4,0.3,-0.1,-.156,-10.5,-0.1
50,50,IND,Georges Niang\niangge01,Iowa State University,1,16,77,11,14,5,.143,.100,1.000,4.8,0.7,0.9,0.3,-0.4,-.256,-14.7,-0.2
51,51,BOS,Ben Bentil\bentibe01,Providence College,,,,,,,,,,,,,,,,,
52,52,UTA,Joel Bolomboy\bolomjo01,Weber State University,1,9,20,8,10,1,.600,.000,.500,2.2,0.9,1.1,0.1,0.1,.220,0.6,0.0
53,53,DEN,Petr Cornelie\cornepe01,,,,,,,,,,,,,,,,,,
54,54,ATL,Kay Felder\feldeka01,Oakland University,1,19,215,104,26,31,.420,.333,.788,11.3,5.5,1.4,1.6,0.5,.104,-3.3,-0.1
55,55,BRK,Marcus Paige\paigema01,University of North Carolina,,,,,,,,,,,,,,,,,
56,56,DEN,Daniel Hamilton\hamilda02,University of Connecticut,,,,,,,,,,,,,,,,,
57,57,MEM,Wang Shelin\sheliwa01,,,,,,,,,,,,,,,,,,
58,58,BOS,Abdel Nader\naderab01,Iowa State University,,,,,,,,,,,,,,,,,
59,59,SAC,Isaiah Cousins\cousiis01,University of Oklahoma,,,,,,,,,,,,,,,,,
60,60,UTA,Tyrone Wallace\wallaty01,University of California,,,,,,,,,,,,,,,,,
