,,,Round 1,Round 1,,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Advanced,Advanced,Advanced,Advanced
Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
1,1,WAS,John Wall\walljo01,University of Kentucky,7,456,16435,8400,2040,4124,.432,.319,.792,36.0,18.4,4.5,9.0,35.5,.104,2.4,18.0
2,2,PHI,Evan Turner\turneev01,Ohio State University,7,505,14313,5374,2561,1871,.432,.305,.781,28.3,10.6,5.1,3.7,15.3,.051,-2.0,-0.1
3,3,NJN,Derrick Favors\favorde01,Georgia Institute of Technology,7,453,11699,5211,3272,476,.509,.143,.667,25.8,11.5,7.2,1.1,31.7,.130,0.8,8.1
4,4,MIN,Wesley Johnson\johnswe01,Syracuse University,7,463,11098,3626,1567,556,.406,.340,.745,24.0,7.8,3.4,1.2,8.8,.038,-1.1,2.4
5,5,SAC,DeMarcus Cousins\couside01,University of Kentucky,7,451,14350,9379,4831,1276,.459,.322,.733,31.8,20.8,10.7,2.8,33.7,.113,2.2,15.3
6,6,GSW,Ekpe Udoh\udohek01,Baylor University,5,270,4564,1072,860,179,.429,.000,.720,16.9,4.0,3.2,0.7,5.7,.060,-1.1,1.0
7,7,DET,Greg Monroe\monrogr01,Georgetown University,7,492,14867,6990,4417,1113,.509,.000,.702,30.2,14.2,9.0,2.3,42.5,.137,2.1,15.4
8,8,LAC,Al-Farouq Aminu\aminual01,Wake Forest University,7,480,11328,3375,2633,587,.427,.318,.724,23.6,7.0,5.5,1.2,15.5,.066,-0.3,4.8
9,9,UTA,Gordon Hayward\haywago01,Butler University,7,475,14768,7180,1941,1623,.439,.361,.822,31.1,15.1,4.1,3.4,37.3,.121,1.8,14.1
10,10,IND,Paul George\georgpa01,California State University Fresno,7,404,13102,7011,2517,1269,.427,.366,.845,32.4,17.4,6.2,3.1,40.2,.147,3.8,19.2
11,11,NOH,Cole Aldrich\aldrico01,University of Kansas,7,290,3195,1013,1079,173,.531,,.750,11.0,3.5,3.7,0.6,9.4,.142,1.3,2.7
12,12,MEM,Xavier Henry\henryxa01,University of Kansas,5,185,2905,1050,351,120,.406,.325,.635,15.7,5.7,1.9,0.6,0.8,.013,-5.1,-2.3
13,13,TOR,Ed Davis\davised01,University of North Carolina,7,471,9868,3224,3008,391,.561,.000,.570,21.0,6.8,6.4,0.8,29.9,.145,1.2,7.9
14,14,HOU,Patrick Patterson\pattepa01,University of Kentucky,7,444,10738,3536,2120,552,.460,.367,.746,24.2,8.0,4.8,1.2,23.3,.104,0.8,7.5
15,15,MIL,Larry Sanders\sandela01,Virginia Commonwealth University,5,233,4622,1516,1341,174,.480,.000,.550,19.8,6.5,5.8,0.7,10.3,.107,0.6,3.1
16,16,MIN,Luke Babbitt\babbilu01,University of Nevada Reno,7,293,4002,1363,667,169,.402,.397,.736,13.7,4.7,2.3,0.6,4.8,.057,-3.1,-1.1
17,17,CHI,Kevin Seraphin\serapke01,,7,395,6094,2374,1390,235,.485,.000,.719,15.4,6.0,3.5,0.6,5.4,.043,-3.9,-2.9
18,18,OKC,Eric Bledsoe\bledser01,University of Kentucky,7,390,10373,4864,1450,1727,.448,.329,.788,26.6,12.5,3.7,4.4,21.2,.098,1.8,10.0
19,19,BOS,Avery Bradley\bradlav01,University of Texas at Austin,7,393,11008,4745,1175,663,.443,.368,.778,28.0,12.1,3.0,1.7,13.8,.060,-1.4,1.7
20,20,SAS,James Anderson\anderja01,Oklahoma State University,5,247,4320,1422,560,291,.411,.321,.755,17.5,5.8,2.3,1.2,3.3,.037,-2.8,-0.9
21,21,OKC,Craig Brackins\brackcr01,Iowa State University,2,17,121,30,19,9,.265,.214,.500,7.1,1.8,1.1,0.5,-0.2,-.089,-9.1,-0.2
22,22,POR,Elliot Williams\williel01,University of Memphis,4,109,1470,537,161,94,.421,.310,.669,13.5,4.9,1.5,0.9,0.7,.024,-5.3,-1.2
23,23,MIN,Trevor Booker\booketr01,Clemson University,7,427,8889,2882,2350,426,.516,.318,.625,20.8,6.7,5.5,1.0,22.1,.119,0.4,5.5
24,24,ATL,Damion James\jamesda01,University of Texas at Austin,4,39,623,150,131,26,.415,.000,.667,16.0,3.8,3.4,0.7,0.0,-.001,-4.3,-0.4
25,25,MEM,Dominique Jones\jonesdo02,University of South Florida,3,80,741,246,114,144,.366,.095,.729,9.3,3.1,1.4,1.8,0.3,.017,-3.6,-0.3
26,26,OKC,Quincy Pondexter\pondequ01,University of Washington,5,279,5042,1466,567,230,.424,.365,.732,18.1,5.3,2.0,0.8,9.1,.087,-1.0,1.2
27,27,NJN,Jordan Crawford\crawfjo02,Xavier University,4,257,6348,3132,665,813,.405,.306,.828,24.7,12.2,2.6,3.2,5.2,.039,-2.2,-0.4
28,28,MEM,Greivis Vasquez\vasqugr01,University of Maryland,7,401,9520,3591,1021,1935,.418,.349,.817,23.7,9.0,2.5,4.8,12.6,.064,-1.5,1.1
29,29,ORL,Daniel Orton\ortonda01,University of Kentucky,3,51,542,143,126,24,.485,.000,.597,10.6,2.8,2.5,0.5,1.0,.093,-1.7,0.0
30,30,WAS,Lazar Hayward\haywala01,Marquette University,3,72,591,207,90,35,.347,.269,.767,8.2,2.9,1.3,0.5,0.2,.020,-4.6,-0.4
31,31,NJN,Tibor Pleiss\pleisti01,,1,12,82,24,15,2,.440,.000,1.000,6.8,2.0,1.3,0.2,-0.1,-.041,-8.1,-0.1
32,32,MIA,Dexter Pittman\pittmde01,University of Texas at Austin,4,50,347,116,89,9,.450,,.545,6.9,2.3,1.8,0.2,0.5,.068,-6.0,-0.4
33,33,SAC,Hassan Whiteside\whiteha01,Marshall University,5,175,4562,2236,1886,59,.591,,.582,26.1,12.8,10.8,0.3,19.4,.204,0.4,2.8
34,34,POR,Armon Johnson\johnsar02,University of Nevada Reno,2,47,401,157,49,56,.458,.400,.679,8.5,3.3,1.0,1.2,-0.1,-.015,-6.2,-0.4
35,35,WAS,Nemanja Bjelica\bjeline01,,2,96,1675,520,321,123,.443,.359,.747,17.4,5.4,3.3,1.3,2.7,.078,-0.3,0.7
36,36,DET,Terrico White,University of Mississippi,,,,,,,,,,,,,,,,,
37,37,MIL,Darington Hobson\hobsoda01,University of New Mexico,1,5,39,4,3,6,.154,.000,,7.8,0.8,0.6,1.2,-0.2,-.225,-14.1,-0.1
38,38,NYK,Andy Rautins\rautian01,Syracuse University,1,5,24,8,1,3,.429,.250,.500,4.8,1.6,0.2,0.6,-0.2,-.314,-16.0,-0.1
39,39,NYK,Landry Fields\fieldla01,Stanford University,5,255,6010,1731,1092,419,.473,.332,.666,23.6,6.8,4.3,1.6,10.5,.084,-0.1,2.8
40,40,IND,Lance Stephenson\stephla01,University of Cincinnati,7,346,8694,3042,1451,1051,.451,.305,.691,25.1,8.8,4.2,3.0,13.8,.076,-0.3,3.8
41,41,MIA,Jarvis Varnado\varnaja01,Mississippi State University,2,37,397,107,72,16,.582,,.518,10.7,2.9,1.9,0.4,0.7,.089,-1.9,0.0
42,42,MIA,Da'Sean Butler,West Virginia University,,,,,,,,,,,,,,,,,
43,43,LAL,Devin Ebanks\ebankde01,West Virginia University,3,63,711,224,122,24,.385,.222,.722,11.3,3.6,1.9,0.4,0.5,.035,-4.7,-0.5
44,44,MIL,Jerome Jordan\jordaje01,University of Tulsa,2,65,491,180,132,17,.528,,.852,7.6,2.8,2.0,0.3,1.7,.168,0.0,0.2
45,45,MIN,Paulao Prestes\prestpa01,,,,,,,,,,,,,,,,,,
46,46,PHO,Gani Lawal\lawalga01,Georgia Institute of Technology,1,1,2,0,0,0,,,,2.0,0.0,0.0,0.0,0.0,-.009,-4.9,0.0
47,47,MIL,Tiny Gallon,University of Oklahoma,,,,,,,,,,,,,,,,,
48,48,MIA,Latavious Williams\willila01,,,,,,,,,,,,,,,,,,
49,49,SAS,Ryan Richards\richary01,,,,,,,,,,,,,,,,,,
50,50,DAL,Solomon Alabi\alabiso01,Florida State University,2,26,181,39,61,5,.314,,.700,7.0,1.5,2.3,0.2,0.0,.010,-5.4,-0.2
51,51,OKC,Magnum Rolle,Louisiana Tech University,,,,,,,,,,,,,,,,,
52,52,BOS,Luke Harangody\haranlu01,University of Notre Dame,2,70,871,253,196,36,.376,.241,.737,12.4,3.6,2.8,0.5,0.9,.048,-3.3,-0.3
53,53,ATL,Pape Sy\sypa01,,1,3,21,7,3,2,.333,.000,1.000,7.0,2.3,1.0,0.7,0.0,-.047,-6.0,0.0
54,54,LAC,Willie Warren\warrewi01,University of Oklahoma,1,19,134,37,12,27,.371,.333,.750,7.1,1.9,0.6,1.4,0.2,.065,-4.5,-0.1
55,55,UTA,Jeremy Evans\evansje01,Western Kentucky University,6,249,2621,877,640,107,.568,.231,.687,10.5,3.5,2.6,0.4,8.2,.150,1.1,2.0
56,56,MIN,Hamady N'Diaye\ndiayha01,Rutgers University,3,33,157,20,25,3,.467,,.462,4.8,0.6,0.8,0.1,0.0,.013,-4.9,-0.1
57,57,IND,Ryan Reid\reidry01,Florida State University,1,5,17,8,2,0,.800,,,3.4,1.6,0.4,0.0,0.1,.142,-5.5,0.0
58,58,LAL,Derrick Caracter\caracde01,University of Texas at El Paso,1,41,215,81,43,7,.485,,.739,5.2,2.0,1.0,0.2,0.3,.057,-4.9,-0.2
59,59,ORL,Stanley Robinson,University of Connecticut,,,,,,,,,,,,,,,,,
60,60,PHO,Dwayne Collins\collidw01,University of Miami,,,,,,,,,,,,,,,,,
