,,,Round 1,Round 1,,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Advanced,Advanced,Advanced,Advanced
Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
1,1,CHI,Derrick Rose\rosede01,University of Memphis,8,439,15264,8572,1618,2663,.448,.300,.816,34.8,19.5,3.7,6.1,32.3,.102,0.7,10.4
2,2,MIA,Michael Beasley\beaslmi01,Kansas State University,9,483,11508,6130,2293,615,.455,.346,.759,23.8,12.7,4.7,1.3,12.0,.050,-3.5,-4.3
3,3,MIN,O.J. Mayo\mayooj01,University of Southern California,8,547,16919,7574,1706,1607,.429,.373,.820,30.9,13.8,3.1,2.9,21.8,.062,-0.8,5.1
4,4,SEA,Russell Westbrook\westbru01,University of California Los Angeles,9,626,21334,13814,3698,4860,.434,.307,.818,34.1,22.1,5.9,7.8,73.2,.165,5.8,41.7
5,5,MEM,Kevin Love\loveke01,University of California Los Angeles,9,548,17913,10148,6296,1306,.444,.366,.819,32.7,18.5,11.5,2.4,68.9,.185,3.2,23.4
6,6,NYK,Danilo Gallinari\gallida01,,8,431,13347,6488,1996,836,.416,.367,.858,31.0,15.1,4.6,1.9,37.4,.134,1.1,10.3
7,7,LAC,Eric Gordon\gordoer01,Indiana University,9,456,15341,7630,1157,1485,.435,.387,.816,33.6,16.7,2.5,3.3,25.5,.080,-0.5,6.0
8,8,MIL,Joe Alexander\alexajo01,West Virginia University,2,67,745,282,120,44,.410,.340,.698,11.1,4.2,1.8,0.7,0.5,.030,-3.3,-0.2
9,9,CHA,D.J. Augustin\augusdj01,University of Texas at Austin,9,612,14644,5938,1096,2407,.404,.375,.867,23.9,9.7,1.8,3.9,31.1,.102,-1.5,1.9
10,10,NJN,Brook Lopez\lopezbr01,Stanford University,9,520,16860,9569,3771,777,.508,.324,.795,32.4,18.4,7.3,1.5,47.2,.134,0.9,12.3
11,11,IND,Jerryd Bayless\bayleje01,University of Arizona,9,513,10904,4393,1093,1501,.414,.366,.825,21.3,8.6,2.1,2.9,17.6,.078,-1.7,0.7
12,12,SAC,Jason Thompson\thompja02,Rider University,8,588,14819,5210,3880,635,.496,.143,.657,25.2,8.9,6.6,1.1,23.8,.077,-1.7,1.3
13,13,POR,Brandon Rush\rushbr01,University of Kansas,9,447,9676,3080,1329,430,.429,.403,.704,21.6,6.9,3.0,1.0,10.7,.053,-1.7,0.6
14,14,GSW,Anthony Randolph\randoan01,Louisiana State University,6,252,3841,1789,1078,187,.453,.241,.740,15.2,7.1,4.3,0.7,5.8,.072,-2.1,-0.1
15,15,PHO,Robin Lopez\lopezro01,Stanford University,9,585,13144,4984,3219,377,.529,.000,.760,22.5,8.5,5.5,0.6,35.9,.131,0.5,8.4
16,16,PHI,Marreese Speights\speigma01,University of Florida,9,611,9329,4876,2570,387,.465,.342,.798,15.3,8.0,4.2,0.6,23.9,.123,-3.0,-2.3
17,17,TOR,Roy Hibbert\hibbero01,Georgetown University,9,646,16222,6558,4138,882,.464,.250,.754,25.1,10.2,6.4,1.4,35.4,.105,0.2,9.2
18,18,WAS,JaVale McGee\mcgeeja01,University of Nevada Reno,9,450,8249,3579,2319,146,.547,.125,.578,18.3,8.0,5.2,0.3,20.7,.120,-0.9,2.4
19,19,CLE,J.J. Hickson\hicksjj01,North Carolina State University,8,534,11925,5081,3639,449,.505,.000,.617,22.3,9.5,6.8,0.8,21.9,.088,-2.3,-0.9
20,20,CHA,Alexis Ajinca\ajincal01,,7,274,3615,1436,1063,138,.500,.293,.803,13.2,5.2,3.9,0.5,6.9,.091,-2.4,-0.4
21,21,NJN,Ryan Anderson\anderry01,University of California,9,523,13792,6884,2896,472,.424,.380,.863,26.4,13.2,5.5,0.9,40.3,.140,1.0,10.3
22,22,ORL,Courtney Lee\leeco01,Western Kentucky University,9,633,17418,6104,1653,1004,.450,.389,.846,27.5,9.6,2.6,1.6,31.6,.087,-0.2,7.9
23,23,UTA,Kosta Koufos\koufoko01,Ohio State University,9,539,8682,3032,2613,211,.533,.000,.598,16.1,5.6,4.8,0.4,22.6,.125,-0.9,2.5
24,24,SEA,Serge Ibaka\ibakase01,,8,563,16298,6662,4153,350,.520,.360,.748,28.9,11.8,7.4,0.6,50.7,.149,0.9,11.9
25,25,HOU,Nicolas Batum\batumni01,,9,587,18519,6978,3125,2059,.439,.358,.836,31.5,11.9,5.3,3.5,45.1,.117,2.9,22.6
26,26,SAS,George Hill\hillge01,Indiana University-Purdue University Indianapolis,9,565,16275,6488,1814,1862,.453,.380,.803,28.8,11.5,3.2,3.3,50.6,.149,2.1,16.8
27,27,NOH,Darrell Arthur\arthuda01,University of Kansas,8,460,8416,3066,1677,374,.445,.337,.763,18.3,6.7,3.6,0.8,11.5,.066,-1.9,0.1
28,28,MEM,Donte Greene\greendo01,Syracuse University,4,253,4259,1541,600,183,.406,.304,.701,16.8,6.1,2.4,0.7,1.5,.017,-3.8,-2.0
29,29,DET,D.J. White\whitedj01,Indiana University,6,138,2111,810,437,80,.507,.333,.720,15.3,5.9,3.2,0.6,3.8,.087,-3.3,-0.7
30,30,BOS,J.R. Giddens\giddejr01,University of New Mexico,2,38,247,73,54,13,.476,.000,.565,6.5,1.9,1.4,0.3,0.1,.027,-4.6,-0.2
31,31,MIN,Nikola Pekovic\pekovni01,,6,271,6744,3405,1807,199,.518,,.760,24.9,12.6,6.7,0.7,18.8,.134,-0.8,2.0
32,32,SEA,Walter Sharpe\sharpwa01,University of Alabama at Birmingham,1,8,20,8,3,0,.364,.000,.000,2.5,1.0,0.4,0.0,-0.1,-.131,-16.5,-0.1
33,33,POR,Joey Dorsey\dorsejo01,University of Memphis,4,130,1488,344,513,55,.534,.000,.375,11.4,2.6,3.9,0.4,2.9,.092,-1.3,0.3
34,34,MIN,Mario Chalmers\chalmma01,University of Kansas,8,580,15824,5236,1428,2215,.421,.358,.786,27.3,9.0,2.5,3.8,31.7,.096,0.5,10.1
35,35,LAC,DeAndre Jordan\jordade01,Texas A&M University,9,632,17326,5596,6243,381,.670,.100,.429,27.4,8.9,9.9,0.6,60.3,.167,1.9,17.1
36,36,POR,Omer Asik\asikom01,,7,450,9020,2457,3313,277,.529,.000,.554,20.0,5.5,7.4,0.6,21.0,.112,-1.4,1.4
37,37,MIL,Luc Mbah a Moute\mbahalu01,University of California Los Angeles,9,579,13496,3658,2532,508,.447,.318,.658,23.3,6.3,4.4,0.9,21.7,.077,-0.9,3.6
