,,,Round 1,Round 1,,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Advanced,Advanced,Advanced,Advanced
18,18,HOU,Sam Dekker\dekkesa01,University of Wisconsin,2,42,732,257,164,42,.484,.326,.576,17.4,6.1,3.9,1.0,1.9,.125,0.4,0.4
19,19,WAS,Jerian Grant\grantje02,University of Notre Dame,2,106,1701,565,187,217,.389,.243,.818,16.0,5.3,1.8,2.0,1.6,.044,-2.9,-0.4
20,20,TOR,Delon Wright\wrighde01,University of Utah,1,27,229,103,37,31,.450,.385,.743,8.5,3.8,1.4,1.1,0.6,.124,-0.7,0.1
21,21,DAL,Justin Anderson\anderju01,University of Virginia,2,90,1226,460,252,52,.399,.287,.787,13.6,5.1,2.8,0.6,1.8,.070,-1.7,0.1
22,22,CHI,Bobby Portis\portibo01,University of Arkansas,2,86,1374,532,412,67,.433,.333,.686,16.0,6.2,4.8,0.8,1.9,.067,-3.3,-0.4
23,23,POR,Rondae Hollis-Jefferson\holliro01,University of Arizona,2,61,1324,418,299,105,.415,.261,.730,21.7,6.9,4.9,1.7,1.8,.064,-0.8,0.4
24,24,CLE,Tyus Jones\jonesty01,Duke University,2,59,804,229,74,152,.385,.346,.778,13.6,3.9,1.3,2.6,1.1,.064,-2.6,-0.1
25,25,MEM,Jarell Martin\martija01,Louisiana State University,2,65,912,308,240,21,.420,.333,.755,14.0,4.7,3.7,0.3,1.4,.076,-5.2,-0.7
26,26,SAS,Nikola Milutinov\milutni01,,,,,,,,,,,,,,,,,,
27,27,LAL,Larry Nance Jr.\nancela02,University of Wyoming,2,91,1893,544,466,81,.546,.136,.689,20.8,6.0,5.1,0.9,3.9,.099,-0.2,0.9
28,28,BOS,R.J. Hunter\hunterj01,Georgia State University,2,39,324,97,38,13,.364,.297,.857,8.3,2.5,1.0,0.3,0.3,.041,-3.7,-0.1
29,29,BRK,Chris McCullough\mcculch01,Syracuse University,2,34,418,138,84,11,.415,.359,.500,12.3,4.1,2.5,0.3,0.4,.045,-1.6,0.0
30,30,GSW,Kevon Looney\looneke01,University of California Los Angeles,2,34,272,90,83,17,.591,.333,.588,8.0,2.6,2.4,0.5,1.1,.187,1.1,0.2
31,31,MIN,Cedi Osman\osmande01,,,,,,,,,,,,,,,,,,
32,32,HOU,Montrezl Harrell\harremo01,University of Louisville,2,69,933,425,181,48,.652,.333,.566,13.5,6.2,2.6,0.7,3.0,.154,-0.3,0.4
33,33,BOS,Jordan Mickey\mickejo01,Louisiana State University,2,25,125,43,30,4,.429,,.467,5.0,1.7,1.2,0.2,0.1,.050,-5.0,-0.1
34,34,LAL,Anthony Brown\brownan02,Stanford University,2,38,742,149,96,25,.317,.277,.850,19.5,3.9,2.5,0.7,-0.3,-.021,-4.9,-0.5
35,35,PHI,Willy Hernangomez\hernawi01,,1,32,431,173,145,26,.549,.333,.686,13.5,5.4,4.5,0.8,0.7,.079,-1.9,0.0
36,36,MIN,Rakeem Christmas\chrisra01,Syracuse University,2,4,20,7,4,1,.500,,1.000,5.0,1.8,1.0,0.3,0.1,.121,-2.3,0.0
37,37,PHI,Richaun Holmes\holmeri01,Bowling Green State University,2,72,1039,432,226,51,.513,.234,.670,14.4,6.0,3.1,0.7,2.4,.110,-0.3,0.4
38,38,DET,Darrun Hilliard\hillida01,Villanova University,2,60,630,232,66,47,.382,.350,.724,10.5,3.9,1.1,0.8,0.3,.026,-4.6,-0.4
39,39,CHO,Juan Pablo Vaulet\vauleju01,,,,,,,,,,,,,,,,,,
40,40,MIA,Josh Richardson\richajo01,University of Tennessee,2,80,1982,655,200,150,.421,.378,.691,24.8,8.2,2.5,1.9,3.1,.074,-0.4,0.8
41,41,BRK,Pat Connaughton\connapa01,University of Notre Dame,2,49,232,60,44,15,.355,.292,.818,4.7,1.2,0.9,0.3,0.0,-.002,-6.3,-0.3
42,42,UTA,Olivier Hanlan\hanlaol01,Boston College,,,,,,,,,,,,,,,,,
43,43,IND,Joseph Young\youngjo01,University of Oregon,2,60,488,203,64,76,.362,.203,.778,8.1,3.4,1.1,1.3,-0.1,-.011,-5.6,-0.4
44,44,PHO,Andrew Harrison\harrian01,University of Kentucky,1,39,991,274,92,139,.305,.240,.759,25.4,7.0,2.4,3.6,1.0,.050,-2.0,0.0
45,45,BOS,Marcus Thornton\thornma02,College of William & Mary,,,,,,,,,,,,,,,,,
46,46,MIL,Norman Powell\powelno01,University of California Los Angeles,2,82,1201,469,164,77,.432,.392,.787,14.6,5.7,2.0,0.9,2.7,.109,-0.3,0.5
47,47,PHI,Arturas Gudaitis\gudaiar01,,,,,,,,,,,,,,,,,,
48,48,OKC,Dakari Johnson\johnsda04,University of Kentucky,,,,,,,,,,,,,,,,,
49,49,WAS,Aaron White\whiteaa01,University of Iowa,,,,,,,,,,,,,,,,,
50,50,ATL,Marcus Eriksson\eriksma01,,,,,,,,,,,,,,,,,,
51,51,ORL,Tyler Harvey\harvety01,Eastern Washington University,,,,,,,,,,,,,,,,,
52,52,DAL,Satnam Singh\singhsa01,,,,,,,,,,,,,,,,,,
53,53,CLE,Sir'Dominic Pointer\pointsi01,St. John's University,,,,,,,,,,,,,,,,,
54,54,UTA,Dani Diez\diezda01,,,,,,,,,,,,,,,,,,
55,55,SAS,Cady Lalanne\lalanca01,University of Massachusetts Amherst,,,,,,,,,,,,,,,,,
56,56,NOP,Branden Dawson\dawsobr01,Michigan State University,1,6,29,5,4,0,.400,,1.000,4.8,0.8,0.7,0.0,0.0,.069,-6.6,0.0
57,57,DEN,Nikola Radicevic\radicni01,,,,,,,,,,,,,,,,,,
58,58,PHI,J.P. Tokoto\tokotjp01,University of North Carolina,,,,,,,,,,,,,,,,,
59,59,ATL,Dimitrios Agravanis\agravdi01,,,,,,,,,,,,,,,,,,
60,60,PHI,Luka Mitrovic\mitrolu01,,,,,,,,,,,,,,,,,,
