,,,Round 1,Round 1,,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Advanced,Advanced,Advanced,Advanced
Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
1,1,MIN,Karl-Anthony Towns\townska01,University of Kentucky,2,120,3979,2328,1299,273,.520,.326,.811,33.2,19.4,10.8,2.3,12.6,.152,2.9,4.9
2,2,LAL,D'Angelo Russell\russeda01,Ohio State University,2,108,3024,1493,377,396,.409,.357,.755,28.0,13.8,3.5,3.7,1.0,.016,-1.2,0.6
3,3,PHI,Jahlil Okafor\okafoja01,Duke University,2,81,2219,1227,508,95,.509,.167,.662,27.4,15.1,6.3,1.2,2.0,.044,-3.7,-1.0
4,4,NYK,Kristaps Porzingis\porzikr01,,2,107,3247,1721,791,140,.433,.366,.819,30.3,16.1,7.4,1.3,7.3,.108,0.3,1.9
5,5,ORL,Mario Hezonja\hezonma01,,2,105,1627,563,205,120,.418,.333,.882,15.5,5.4,2.0,1.1,0.5,.015,-3.5,-0.6
6,6,SAC,Willie Cauley-Stein\caulewi01,University of Kentucky,2,97,1771,602,419,47,.561,.000,.608,18.3,6.2,4.3,0.5,4.3,.117,-0.1,0.8
7,7,DEN,Emmanuel Mudiay\mudiaem01,,2,104,3112,1311,366,512,.366,.313,.710,29.9,12.6,3.5,4.9,-2.5,-.038,-4.2,-1.7
8,8,DET,Stanley Johnson\johnsst04,University of Arizona,2,108,2203,716,383,155,.372,.300,.750,20.4,6.6,3.5,1.4,1.1,.023,-2.2,-0.1
9,9,CHO,Frank Kaminsky\kaminfr01,University of Wisconsin,2,117,2589,966,502,173,.399,.312,.733,22.1,8.3,4.3,1.5,4.2,.078,-1.4,0.4
10,10,MIA,Justise Winslow\winslju01,Duke University,2,96,2857,698,497,183,.400,.258,.665,29.8,7.3,5.2,1.9,2.3,.038,-1.2,0.6
11,11,IND,Myles Turner\turnemy01,University of Texas at Austin,2,97,2473,1202,613,77,.514,.375,.773,25.5,12.4,6.3,0.8,7.2,.140,-0.2,1.1
12,12,UTA,Trey Lyles\lylestr01,University of Kentucky,2,119,2171,823,452,109,.426,.367,.716,18.2,6.9,3.8,0.9,3.5,.078,-2.0,0.0
13,13,PHO,Devin Booker\bookede01,University of Kentucky,2,113,3352,1760,294,316,.417,.340,.830,29.7,15.6,2.6,2.8,2.4,.034,-3.2,-1.0
14,14,OKC,Cameron Payne\payneca01,Murray State University,2,59,726,291,91,112,.406,.330,.792,12.3,4.9,1.5,1.9,1.4,.090,-1.5,0.1
15,15,ATL,Kelly Oubre\oubreke01,University of Kansas,2,97,1312,441,254,35,.424,.313,.693,13.5,4.5,2.6,0.4,1.3,.049,-4.2,-0.7
16,16,BOS,Terry Rozier\roziete01,University of Louisville,2,72,896,255,171,96,.341,.292,.721,12.4,3.5,2.4,1.3,0.3,.018,-4.0,-0.5
17,17,MIL,Rashad Vaughn\vaughra01,University of Nevada Las Vegas,2,84,1168,279,103,43,.320,.308,.800,13.9,3.3,1.2,0.5,-0.7,-.028,-5.9,-1.1
